Timestamp,Threat Type,Severity,Description
2025-12-03 10:22:26,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-03 10:22:23,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-03 10:22:23,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-03 10:22:21,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-03 10:22:19,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-03 09:39:06,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-03 09:39:06,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-03 09:39:03,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-03 09:38:58,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-03 09:38:54,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-03 09:38:51,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 21:27:22,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 21:27:19,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 21:27:14,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 21:27:12,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 21:27:08,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:58,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:57,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:56,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:54,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 20:25:52,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 20:25:51,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 20:25:49,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:49,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 20:25:48,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:45,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:44,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:46,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:42,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:41,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:37,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:37,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 18:47:36,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 18:47:35,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:34,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:34,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 18:47:33,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:32,Malware Signature Found,High,Simulated event: Malware Signature Found
