Timestamp,Threat Type,Severity,Description
2025-12-02 21:27:22,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 21:27:21,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 21:27:21,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 21:27:20,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 21:27:20,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 21:27:19,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 21:27:19,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 21:27:18,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 21:27:18,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 21:27:17,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 21:27:17,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 21:27:16,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 21:27:16,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 21:27:15,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 21:27:15,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 21:27:14,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 21:27:14,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 21:27:13,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 21:27:13,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 21:27:12,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 21:27:12,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 21:27:11,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 21:27:11,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 21:27:10,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 21:27:10,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 21:27:09,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 21:27:09,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 21:27:08,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 21:27:08,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 21:27:07,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 20:25:59,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 20:25:58,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
